Prompt	Ans	Candidate Ans	Subject
קרלוס השני, מלך ספרד נולד ב- <mask>.	מדריד	טורונטו, לונדון, בלגרד, מנצ'סטר, נאפולי, ברוקלין, וינה, איסטנבול, ז'נבה, מדריד	קרלוס השני, מלך ספרד
דייוויד קולטהרד נולד ב- <mask>.	סקוטלנד	ברוקלין, וינה, בייג'ינג, בלפסט, פריז, איסטנבול, יוסטון, מילאנו, וסטמינסטר, סקוטלנד	דייוויד קולטהרד
כריסטינה רוזטי נולד ב- <mask>.	לונדון	בלפסט, קומו, מוסקבה, איסטנבול, ברלין, סקוטלנד, רומא, מנצ'סטר, ארמניה, לונדון	כריסטינה רוזטי
קני רוג'רס נולד ב- <mask>.	יוסטון	איסטנבול, בלגרד, שיקגו, מדריד, פריז, לונדון, מילאנו, וינה, ברוקלין, יוסטון	קני רוג'רס
חוסיין נולד ב- <mask>.	אל-מדינה	פריז, מוסקבה, ברלין, ז'נבה, ברוקלין, רומא, סקוטלנד, בייג'ינג, בלגרד, אל-מדינה	חוסיין
ויליאם תומסון נולד ב- <mask>.	בלפסט	מוסקבה, ז'נבה, מדריד, וסטמינסטר, פריז, אל-מדינה, בלגרד, בייג'ינג, רומא, בלפסט	ויליאם תומסון
אלפרד אדלר נולד ב- <mask>.	וינה	פריז, מדריד, טורונטו, קלן, קומו, לונדון, בלפסט, איסטנבול, מינכן, וינה	אלפרד אדלר
צ'וס למפראבה נולד ב- <mask>.	מדריד	נאפולי, רומא, מכה, שיקגו, ארמניה, לונדון, קומו, סקוטלנד, איסטנבול, מדריד	צ'וס למפראבה
סרגיי לברוב נולד ב- <mask>.	מוסקבה	בייג'ינג, ז'נבה, אל-מדינה, איסטנבול, בלפסט, בלגרד, מדריד, וסטמינסטר, לונדון, מוסקבה	סרגיי לברוב
קונראד לורנץ נולד ב- <mask>.	וינה	מכה, מילאנו, ברלין, בלגרד, לונדון, שיקגו, בייג'ינג, איסטנבול, בלפסט, וינה	קונראד לורנץ
לו ריד נולד ב- <mask>.	ברוקלין	יוסטון, ז'נבה, מינכן, רומא, וינה, אל-מדינה, וסטמינסטר, קלן, ברלין, ברוקלין	לו ריד
לאו החמישי הארמני נולד ב- <mask>.	ארמניה	ברלין, טורונטו, קלן, מכה, מנצ'סטר, מוסקבה, קומו, איסטנבול, מדריד, ארמניה	לאו החמישי הארמני
מרקו דל וקיו נולד ב- <mask>.	מילאנו	מכה, מינכן, וסטמינסטר, קלן, בייג'ינג, בלגרד, ז'נבה, טורונטו, ארמניה, מילאנו	מרקו דל וקיו
קרל אורף נולד ב- <mask>.	מינכן	רומא, טורונטו, יוסטון, מנצ'סטר, וינה, בייג'ינג, קלן, שיקגו, ברלין, מינכן	קרל אורף
פליניוס הזקן נולד ב- <mask>.	קומו	טורונטו, מינכן, ז'נבה, פריז, מילאנו, וסטמינסטר, מנצ'סטר, ברלין, לונדון, קומו	פליניוס הזקן
פרידריך וילהלם השני, מלך פרוסיה נולד ב- <mask>.	ברלין	ארמניה, מדריד, טורונטו, בלפסט, וסטמינסטר, סקוטלנד, יוסטון, פריז, קלן, ברלין	פרידריך וילהלם השני, מלך פרוסיה
בוניפקיוס השלישי נולד ב- <mask>.	רומא	ברוקלין, נאפולי, יוסטון, קומו, מוסקבה, מנצ'סטר, מילאנו, בלגרד, פריז, רומא	בוניפקיוס השלישי
קלאודיו אבאדו נולד ב- <mask>.	מילאנו	מדריד, קלן, בלגרד, בלפסט, וינה, שיקגו, בייג'ינג, לונדון, ברלין, מילאנו	קלאודיו אבאדו
אנריקו קארוזו נולד ב- <mask>.	נאפולי	קלן, רומא, קומו, מנצ'סטר, וינה, ברלין, פריז, סקוטלנד, יוסטון, נאפולי	אנריקו קארוזו
מהמט השישי נולד ב- <mask>.	איסטנבול	מדריד, וסטמינסטר, מינכן, בלפסט, בלגרד, מוסקבה, ז'נבה, טורונטו, יוסטון, איסטנבול	מהמט השישי
דניס פרינה נולד ב- <mask>.	שיקגו	מוסקבה, בלפסט, טורונטו, ברלין, מדריד, מילאנו, ארמניה, נאפולי, איסטנבול, שיקגו	דניס פרינה
מארק סטרונג נולד ב- <mask>.	לונדון	מילאנו, מדריד, בלפסט, ז'נבה, רומא, ברוקלין, טורונטו, פריז, יוסטון, לונדון	מארק סטרונג
אדוארד הראשון, מלך אנגליה נולד ב- <mask>.	וסטמינסטר	קלן, ברוקלין, מוסקבה, ז'נבה, מילאנו, טורונטו, וינה, ארמניה, אל-מדינה, וסטמינסטר	אדוארד הראשון, מלך אנגליה
דה ויקנד נולד ב- <mask>.	טורונטו	מנצ'סטר, מילאנו, לונדון, קלן, מכה, וסטמינסטר, ברלין, מדריד, יוסטון, טורונטו	דה ויקנד
לארי קינג נולד ב- <mask>.	ברוקלין	ז'נבה, קומו, רומא, אל-מדינה, פריז, ברלין, קלן, מינכן, שיקגו, ברוקלין	לארי קינג
ארתור הרדן נולד ב- <mask>.	מנצ'סטר	לונדון, רומא, קלן, בלפסט, סקוטלנד, מכה, איסטנבול, טורונטו, מוסקבה, מנצ'סטר	ארתור הרדן
המרקיז דה סאד נולד ב- <mask>.	פריז	אל-מדינה, מילאנו, יוסטון, מנצ'סטר, נאפולי, איסטנבול, טורונטו, מכה, רומא, פריז	המרקיז דה סאד
ג'אנג דזה יי נולד ב- <mask>.	בייג'ינג	נאפולי, אל-מדינה, שיקגו, ברלין, בלגרד, מדריד, רומא, מוסקבה, מכה, בייג'ינג	ג'אנג דזה יי
