Prompt	Ans	Candidate Ans	Subject
Charles II d'Espagne est né en <mask>.	Madrid	Toronto, Londres, Belgrade, Manchester, Naples, Brooklyn, Vienne, Istanbul, Genève, Madrid	Charles II d'Espagne
David Coulthard est né en <mask>.	Écosse	Brooklyn, Vienne, Pékin, Belfast, Paris, Istanbul, Houston, Milan, Westminster, Écosse	David Coulthard
Christina Rossetti est né en <mask>.	Londres	Belfast, Côme, Moscou, Istanbul, Berlin, Écosse, Rome, Manchester, Arménie, Londres	Christina Rossetti
Kenny Rogers est né en <mask>.	Houston	Istanbul, Belgrade, Chicago, Madrid, Paris, Londres, Milan, Vienne, Brooklyn, Houston	Kenny Rogers
Al-Hussein ibn Ali est né en <mask>.	Médine	Paris, Moscou, Berlin, Genève, Brooklyn, Rome, Écosse, Pékin, Belgrade, Médine	Al-Hussein ibn Ali
William Thomson est né en <mask>.	Belfast	Moscou, Genève, Madrid, Westminster, Paris, Médine, Belgrade, Pékin, Rome, Belfast	William Thomson
Alfred Adler est né en <mask>.	Vienne	Paris, Madrid, Toronto, Cologne, Côme, Londres, Belfast, Istanbul, Munich, Vienne	Alfred Adler
Chus Lampreave est né en <mask>.	Madrid	Naples, Rome, La Mecque, Chicago, Arménie, Londres, Côme, Écosse, Istanbul, Madrid	Chus Lampreave
Sergueï Lavrov est né en <mask>.	Moscou	Pékin, Genève, Médine, Istanbul, Belfast, Belgrade, Madrid, Westminster, Londres, Moscou	Sergueï Lavrov
Konrad Lorenz est né en <mask>.	Vienne	La Mecque, Milan, Berlin, Belgrade, Londres, Chicago, Pékin, Istanbul, Belfast, Vienne	Konrad Lorenz
Lou Reed est né en <mask>.	Brooklyn	Houston, Genève, Munich, Rome, Vienne, Médine, Westminster, Cologne, Berlin, Brooklyn	Lou Reed
Léon V l'Arménien est né en <mask>.	Arménie	Berlin, Toronto, Cologne, La Mecque, Manchester, Moscou, Côme, Istanbul, Madrid, Arménie	Léon V l'Arménien
Marco Delvecchio est né en <mask>.	Milan	La Mecque, Munich, Westminster, Cologne, Pékin, Belgrade, Genève, Toronto, Arménie, Milan	Marco Delvecchio
Carl Orff est né en <mask>.	Munich	Rome, Toronto, Houston, Manchester, Vienne, Pékin, Cologne, Chicago, Berlin, Munich	Carl Orff
Pline l'Ancien est né en <mask>.	Côme	Toronto, Munich, Genève, Paris, Milan, Westminster, Manchester, Berlin, Londres, Côme	Pline l'Ancien
Frédéric-Guillaume II de Prusse est né en <mask>.	Berlin	Arménie, Madrid, Toronto, Belfast, Westminster, Écosse, Houston, Paris, Cologne, Berlin	Frédéric-Guillaume II de Prusse
Boniface III est né en <mask>.	Rome	Brooklyn, Naples, Houston, Côme, Moscou, Manchester, Milan, Belgrade, Paris, Rome	Boniface III
