Prompt	Ans	Candidate Ans	Subject
Karel II van Spanje is geboren in <mask>.	Madrid	Toronto, Londen, Belgrado, Manchester, Napels, Brooklyn, Wenen, Istanboel, Genève, Madrid	Karel II van Spanje
David Coulthard is geboren in <mask>.	Schotland	Brooklyn, Wenen, Peking, Belfast, Parijs, Istanboel, Houston, Milaan, Westminster, Schotland	David Coulthard
Christina Rossetti is geboren in <mask>.	Londen	Belfast, Como, Moskou, Istanboel, Berlijn, Schotland, Rome, Manchester, Armenië, Londen	Christina Rossetti
Kenny Rogers is geboren in <mask>.	Houston	Istanboel, Belgrado, Chicago, Madrid, Parijs, Londen, Milaan, Wenen, Brooklyn, Houston	Kenny Rogers
Hoessein is geboren in <mask>.	Medina	Parijs, Moskou, Berlijn, Genève, Brooklyn, Rome, Schotland, Peking, Belgrado, Medina	Hoessein
William Thomson is geboren in <mask>.	Belfast	Moskou, Genève, Madrid, Westminster, Parijs, Medina, Belgrado, Peking, Rome, Belfast	William Thomson
Alfred Adler is geboren in <mask>.	Wenen	Parijs, Madrid, Toronto, Keulen, Como, Londen, Belfast, Istanboel, München, Wenen	Alfred Adler
Chus Lampreave is geboren in <mask>.	Madrid	Napels, Rome, Mekka, Chicago, Armenië, Londen, Como, Schotland, Istanboel, Madrid	Chus Lampreave
Sergej Lavrov is geboren in <mask>.	Moskou	Peking, Genève, Medina, Istanboel, Belfast, Belgrado, Madrid, Westminster, Londen, Moskou	Sergej Lavrov
Konrad Lorenz is geboren in <mask>.	Wenen	Mekka, Milaan, Berlijn, Belgrado, Londen, Chicago, Peking, Istanboel, Belfast, Wenen	Konrad Lorenz
Lou Reed is geboren in <mask>.	Brooklyn	Houston, Genève, München, Rome, Wenen, Medina, Westminster, Keulen, Berlijn, Brooklyn	Lou Reed
Leo V van Byzantium is geboren in <mask>.	Armenië	Berlijn, Toronto, Keulen, Mekka, Manchester, Moskou, Como, Istanboel, Madrid, Armenië	Leo V van Byzantium
Marco Delvecchio is geboren in <mask>.	Milaan	Mekka, München, Westminster, Keulen, Peking, Belgrado, Genève, Toronto, Armenië, Milaan	Marco Delvecchio
Carl Orff is geboren in <mask>.	München	Rome, Toronto, Houston, Manchester, Wenen, Peking, Keulen, Chicago, Berlijn, München	Carl Orff
Plinius de Oudere is geboren in <mask>.	Como	Toronto, München, Genève, Parijs, Milaan, Westminster, Manchester, Berlijn, Londen, Como	Plinius de Oudere
Frederik Willem II van Pruisen is geboren in <mask>.	Berlijn	Armenië, Madrid, Toronto, Belfast, Westminster, Schotland, Houston, Parijs, Keulen, Berlijn	Frederik Willem II van Pruisen
Paus Bonifatius III is geboren in <mask>.	Rome	Brooklyn, Napels, Houston, Como, Moskou, Manchester, Milaan, Belgrado, Parijs, Rome	Paus Bonifatius III
Claudio Abbado is geboren in <mask>.	Milaan	Madrid, Keulen, Belgrado, Belfast, Wenen, Chicago, Peking, Londen, Berlijn, Milaan	Claudio Abbado
Enrico Caruso is geboren in <mask>.	Napels	Keulen, Rome, Como, Manchester, Wenen, Berlijn, Parijs, Schotland, Houston, Napels	Enrico Caruso
Mehmet VI is geboren in <mask>.	Istanboel	Madrid, Westminster, München, Belfast, Belgrado, Moskou, Genève, Toronto, Houston, Istanboel	Mehmet VI
Dennis Farina is geboren in <mask>.	Chicago	Moskou, Belfast, Toronto, Berlijn, Madrid, Milaan, Armenië, Napels, Istanboel, Chicago	Dennis Farina
Mark Strong is geboren in <mask>.	Londen	Milaan, Madrid, Belfast, Genève, Rome, Brooklyn, Toronto, Parijs, Houston, Londen	Mark Strong
Eduard I van Engeland is geboren in <mask>.	Westminster	Keulen, Brooklyn, Moskou, Genève, Milaan, Toronto, Wenen, Armenië, Medina, Westminster	Eduard I van Engeland
The Weeknd is geboren in <mask>.	Toronto	Manchester, Milaan, Londen, Keulen, Mekka, Westminster, Berlijn, Madrid, Houston, Toronto	The Weeknd
Larry King is geboren in <mask>.	Brooklyn	Genève, Como, Rome, Medina, Parijs, Berlijn, Keulen, München, Chicago, Brooklyn	Larry King
Arthur Harden is geboren in <mask>.	Manchester	Londen, Rome, Keulen, Belfast, Schotland, Mekka, Istanboel, Toronto, Moskou, Manchester	Arthur Harden
Marquis de Sade is geboren in <mask>.	Parijs	Medina, Milaan, Houston, Manchester, Napels, Istanboel, Toronto, Mekka, Rome, Parijs	Marquis de Sade
Zhang Ziyi is geboren in <mask>.	Peking	Napels, Medina, Chicago, Berlijn, Belgrado, Madrid, Rome, Moskou, Mekka, Peking	Zhang Ziyi
Konrad Adenauer is geboren in <mask>.	Keulen	Belgrado, Toronto, Genève, Como, Moskou, Houston, Milaan, Londen, Medina, Keulen	Konrad Adenauer
Ferdinand de Saussure is geboren in <mask>.	Genève	Istanboel, München, Moskou, Como, Napels, Keulen, Belgrado, Madrid, Londen, Genève	Ferdinand de Saussure
Vasili III van Moskou is geboren in <mask>.	Moskou	Milaan, Toronto, Mekka, Berlijn, Rome, Peking, Istanboel, Madrid, Genève, Moskou	Vasili III van Moskou
Georges Duhamel is geboren in <mask>.	Parijs	Wenen, Milaan, Westminster, Belfast, Mekka, Armenië, Manchester, Medina, Toronto, Parijs	Georges Duhamel
Aïsja is geboren in <mask>.	Mekka	Como, Keulen, Parijs, Brooklyn, Belfast, Houston, Schotland, Wenen, Madrid, Mekka	Aïsja
Peter I van Joegoslavië is geboren in <mask>.	Belgrado	Wenen, Peking, Milaan, Genève, Armenië, Brooklyn, Chicago, Napels, Belfast, Belgrado	Peter I van Joegoslavië
Bing Crosby is geboren in <mask>.	Tacoma	Chicago, Houston, Wenen, Istanboel, Como, Londen, Medina, Brooklyn, Napels, Tacoma	Bing Crosby
