Prompt	Ans	Candidate Ans	Subject
미켈란젤로 부오나로티는 <mask>에서 사망했습니다.	로마	베네치아, 로마	미켈란젤로 부오나로티
리하르트 바그너는 <mask>에서 사망했습니다.	베네치아	로마, 베네치아	리하르트 바그너
아랍 문자는 <mask>의 서브 클래스입니다.	음소문자	생물학, 음소문자	아랍 문자
생태학는 <mask>의 서브 클래스입니다.	생물학	음소문자, 생물학	생태학
프랑스령 폴리네시아의 공식 언어는 <mask>입니다.	프랑스어	알바니아어, 인도네시아어, 루마니아어, 세르비아어, 히브리어, 터키어, 조지아어, 불가리아어, 독일어, 프랑스어	프랑스령 폴리네시아
우타르프라데시주의 공식 언어는 <mask>입니다.	우르두어	일본어, 러시아어, 터키어, 라틴어, 슬로베니아어, 크로아티아어, 태국어, 카탈루냐어, 알바니아어, 우르두어	우타르프라데시주
유럽 연합의 공식 언어는 <mask>입니다.	핀란드어	터키어, 체코어, 프랑스어, 스페인어, 스웨덴어, 네덜란드어, 그리스어, 폴란드어, 에스토니아어, 핀란드어	유럽 연합
유럽 연합의 공식 언어는 <mask>입니다.	슬로베니아어	라틴어, 그리스어, 한국어, 영어, 슬로바키아어, 크로아티아어, 폴란드어, 우르두어, 독일어, 슬로베니아어	유럽 연합
아이티의 공식 언어는 <mask>입니다.	프랑스어	러시아어, 독일어, 크로아티아어, 우르두어, 페르시아어, 조지아어, 네덜란드어, 터키어, 아르메니아어, 프랑스어	아이티
와이오밍주의 공식 언어는 <mask>입니다.	영어	우크라이나어, 크로아티아어, 슬로바키아어, 체코어, 리투아니아어, 핀란드어, 일본어, 우르두어, 터키어, 영어	와이오밍주
우루과이의 공식 언어는 <mask>입니다.	스페인어	독일어, 터키어, 세르비아어, 네덜란드어, 우르두어, 태국어, 영어, 스웨덴어, 에스토니아어, 스페인어	우루과이
남오세티야의 공식 언어는 <mask>입니다.	조지아어	불가리아어, 영어, 체코어, 슬로바키아어, 터키어, 네덜란드어, 포르투갈어, 아르메니아어, 한국어, 조지아어	남오세티야
콩고 공화국의 공식 언어는 <mask>입니다.	프랑스어	폴란드어, 히브리어, 태국어, 크로아티아어, 에스토니아어, 라틴어, 그리스어, 일본어, 터키어, 프랑스어	콩고 공화국
솔로몬 제도의 공식 언어는 <mask>입니다.	영어	프랑스어, 헝가리어, 태국어, 슬로바키아어, 아이슬란드어, 불가리아어, 한국어, 중국어, 러시아어, 영어	솔로몬 제도
이스터섬의 공식 언어는 <mask>입니다.	스페인어	러시아어, 체코어, 라틴어, 덴마크어, 일본어, 헝가리어, 아이슬란드어, 조지아어, 스웨덴어, 스페인어	이스터섬
브라질의 공식 언어는 <mask>입니다.	포르투갈어	우르두어, 아이슬란드어, 세르비아어, 태국어, 핀란드어, 조지아어, 바스크어, 슬로바키아어, 리투아니아어, 포르투갈어	브라질
멕시코의 공식 언어는 <mask>입니다.	스페인어	이탈리아어, 중국어, 에스토니아어, 루마니아어, 아르메니아어, 카탈루냐어, 바스크어, 프랑스어, 우르두어, 스페인어	멕시코
감비아의 공식 언어는 <mask>입니다.	영어	세르비아어, 러시아어, 아제르바이잔어, 폴란드어, 스페인어, 에스토니아어, 이탈리아어, 라틴어, 슬로바키아어, 영어	감비아
맨섬의 공식 언어는 <mask>입니다.	영어	크로아티아어, 한국어, 핀란드어, 중국어, 프랑스어, 태국어, 일본어, 세르비아어, 바스크어, 영어	맨섬
미시시피주의 공식 언어는 <mask>입니다.	영어	그리스어, 일본어, 덴마크어, 중국어, 루마니아어, 네덜란드어, 크로아티아어, 우르두어, 아르메니아어, 영어	미시시피주
마카오의 공식 언어는 <mask>입니다.	중국어	스웨덴어, 알바니아어, 체코어, 인도네시아어, 프랑스어, 독일어, 태국어, 크로아티아어, 루마니아어, 중국어	마카오
이스라엘의 공식 언어는 <mask>입니다.	히브리어	아이슬란드어, 루마니아어, 영어, 카탈루냐어, 슬로바키아어, 그리스어, 헝가리어, 폴란드어, 불가리아어, 히브리어	이스라엘
사모아의 공식 언어는 <mask>입니다.	영어	히브리어, 슬로바키아어, 아르메니아어, 스페인어, 헝가리어, 한국어, 우르두어, 중국어, 일본어, 영어	사모아
스위스의 공식 언어는 <mask>입니다.	프랑스어	크로아티아어, 히브리어, 라틴어, 독일어, 헝가리어, 아제르바이잔어, 스페인어, 우크라이나어, 네덜란드어, 프랑스어	스위스
벨기에의 공식 언어는 <mask>입니다.	독일어	핀란드어, 이탈리아어, 아제르바이잔어, 아이슬란드어, 그리스어, 중국어, 아르메니아어, 조지아어, 알바니아어, 독일어	벨기에
나우루의 공식 언어는 <mask>입니다.	영어	아제르바이잔어, 헝가리어, 우크라이나어, 알바니아어, 히브리어, 크로아티아어, 덴마크어, 프랑스어, 이탈리아어, 영어	나우루
포클랜드 제도의 공식 언어는 <mask>입니다.	영어	인도네시아어, 그리스어, 히브리어, 라틴어, 슬로바키아어, 중국어, 아르메니아어, 조지아어, 아이슬란드어, 영어	포클랜드 제도
기니의 공식 언어는 <mask>입니다.	프랑스어	체코어, 일본어, 루마니아어, 에스토니아어, 터키어, 아이슬란드어, 인도네시아어, 핀란드어, 스페인어, 프랑스어	기니
