Prompt	Ans	Candidate Ans	Subject
ミケランジェロ・ブオナローティは<mask>に亡くなりました。	ローマ	ヴェネツィア, ローマ	ミケランジェロ・ブオナローティ
リヒャルト・ワーグナーは<mask>に亡くなりました。	ヴェネツィア	ローマ, ヴェネツィア	リヒャルト・ワーグナー
アラビア文字は<mask>のサブクラスです。	アルファベット	生物学, アルファベット	アラビア文字
生態学は<mask>のサブクラスです。	生物学	アルファベット, 生物学	生態学
フランス領ポリネシアの公用語は<mask>です。	フランス語	アルバニア語, インドネシア語, ルーマニア語, セルビア語, ヘブライ語, トルコ語, ジョージア語, ブルガリア語, ドイツ語, フランス語	フランス領ポリネシア
ウッタル・プラデーシュ州の公用語は<mask>です。	ウルドゥー語	日本語, ロシア語, トルコ語, ラテン語, スロベニア語, クロアチア語, タイ語, カタルーニャ語, アルバニア語, ウルドゥー語	ウッタル・プラデーシュ州
欧州連合の公用語は<mask>です。	フィンランド語	トルコ語, チェコ語, フランス語, スペイン語, スウェーデン語, オランダ語, ギリシア語, ポーランド語, エストニア語, フィンランド語	欧州連合
欧州連合の公用語は<mask>です。	スロベニア語	ラテン語, ギリシア語, 朝鮮語, 英語, スロバキア語, クロアチア語, ポーランド語, ウルドゥー語, ドイツ語, スロベニア語	欧州連合
ハイチの公用語は<mask>です。	フランス語	ロシア語, ドイツ語, クロアチア語, ウルドゥー語, ペルシア語, ジョージア語, オランダ語, トルコ語, アルメニア語, フランス語	ハイチ
ワイオミング州の公用語は<mask>です。	英語	ウクライナ語, クロアチア語, スロバキア語, チェコ語, リトアニア語, フィンランド語, 日本語, ウルドゥー語, トルコ語, 英語	ワイオミング州
ウルグアイの公用語は<mask>です。	スペイン語	ドイツ語, トルコ語, セルビア語, オランダ語, ウルドゥー語, タイ語, 英語, スウェーデン語, エストニア語, スペイン語	ウルグアイ
南オセチアの公用語は<mask>です。	ジョージア語	ブルガリア語, 英語, チェコ語, スロバキア語, トルコ語, オランダ語, ポルトガル語, アルメニア語, 朝鮮語, ジョージア語	南オセチア
コンゴ共和国の公用語は<mask>です。	フランス語	ポーランド語, ヘブライ語, タイ語, クロアチア語, エストニア語, ラテン語, ギリシア語, 日本語, トルコ語, フランス語	コンゴ共和国
ソロモン諸島の公用語は<mask>です。	英語	フランス語, ハンガリー語, タイ語, スロバキア語, アイスランド語, ブルガリア語, 朝鮮語, 中国語, ロシア語, 英語	ソロモン諸島
イースター島の公用語は<mask>です。	スペイン語	ロシア語, チェコ語, ラテン語, デンマーク語, 日本語, ハンガリー語, アイスランド語, ジョージア語, スウェーデン語, スペイン語	イースター島
ブラジルの公用語は<mask>です。	ポルトガル語	ウルドゥー語, アイスランド語, セルビア語, タイ語, フィンランド語, ジョージア語, バスク語, スロバキア語, リトアニア語, ポルトガル語	ブラジル
