Prompt	Ans	Candidate Ans	Subject
Микеланджело умер в <mask>.	Рим	Венеция, Рим	Микеланджело
Рихард Вагнер умер в <mask>.	Венеция	Рим, Венеция	Рихард Вагнер
арабский алфавит является подклассом <mask>.	алфавит	биология, алфавит	арабский алфавит
экология является подклассом <mask>.	биология	алфавит, биология	экология
Официальный язык Французская Полинезия - <mask>.	французский язык	албанский язык, индонезийский язык, румынский язык, сербский язык, иврит, турецкий язык, грузинский язык, болгарский язык, немецкий язык, французский язык	Французская Полинезия
Официальный язык Уттар-Прадеш - <mask>.	урду	японский язык, русский язык, турецкий язык, латинский язык, словенский язык, хорватский язык, тайский язык, каталанский язык, албанский язык, урду	Уттар-Прадеш
Официальный язык Европейский союз - <mask>.	финский язык	турецкий язык, чешский язык, французский язык, испанский язык, шведский язык, нидерландский язык, греческий язык, польский язык, эстонский язык, финский язык	Европейский союз
Официальный язык Европейский союз - <mask>.	словенский язык	латинский язык, греческий язык, корейский язык, английский язык, словацкий язык, хорватский язык, польский язык, урду, немецкий язык, словенский язык	Европейский союз
Официальный язык Республика Гаити - <mask>.	французский язык	русский язык, немецкий язык, хорватский язык, урду, персидский язык, грузинский язык, нидерландский язык, турецкий язык, армянский язык, французский язык	Республика Гаити
Официальный язык Вайоминг - <mask>.	английский язык	украинский язык, хорватский язык, словацкий язык, чешский язык, литовский язык, финский язык, японский язык, урду, турецкий язык, английский язык	Вайоминг
Официальный язык Уругвай - <mask>.	испанский язык	немецкий язык, турецкий язык, сербский язык, нидерландский язык, урду, тайский язык, английский язык, шведский язык, эстонский язык, испанский язык	Уругвай
Официальный язык Южная Осетия - <mask>.	грузинский язык	болгарский язык, английский язык, чешский язык, словацкий язык, турецкий язык, нидерландский язык, португальский язык, армянский язык, корейский язык, грузинский язык	Южная Осетия
Официальный язык Республика Конго - <mask>.	французский язык	польский язык, иврит, тайский язык, хорватский язык, эстонский язык, латинский язык, греческий язык, японский язык, турецкий язык, французский язык	Республика Конго
Официальный язык Соломоновы Острова - <mask>.	английский язык	французский язык, венгерский язык, тайский язык, словацкий язык, исландский язык, болгарский язык, корейский язык, китайский язык, русский язык, английский язык	Соломоновы Острова
Официальный язык Остров Пасхи - <mask>.	испанский язык	русский язык, чешский язык, латинский язык, датский язык, японский язык, венгерский язык, исландский язык, грузинский язык, шведский язык, испанский язык	Остров Пасхи
Официальный язык Бразилия - <mask>.	португальский язык	урду, исландский язык, сербский язык, тайский язык, финский язык, грузинский язык, баскский язык, словацкий язык, литовский язык, португальский язык	Бразилия
Официальный язык Мексика - <mask>.	испанский язык	итальянский язык, китайский язык, эстонский язык, румынский язык, армянский язык, каталанский язык, баскский язык, французский язык, урду, испанский язык	Мексика
Официальный язык Гамбия - <mask>.	английский язык	сербский язык, русский язык, азербайджанский язык, польский язык, испанский язык, эстонский язык, итальянский язык, латинский язык, словацкий язык, английский язык	Гамбия
Официальный язык остров Мэн - <mask>.	английский язык	хорватский язык, корейский язык, финский язык, китайский язык, французский язык, тайский язык, японский язык, сербский язык, баскский язык, английский язык	остров Мэн
Официальный язык Миссисипи - <mask>.	английский язык	греческий язык, японский язык, датский язык, китайский язык, румынский язык, нидерландский язык, хорватский язык, урду, армянский язык, английский язык	Миссисипи
Официальный язык Макао - <mask>.	китайский язык	шведский язык, албанский язык, чешский язык, индонезийский язык, французский язык, немецкий язык, тайский язык, хорватский язык, румынский язык, китайский язык	Макао
Официальный язык Израиль - <mask>.	иврит	исландский язык, румынский язык, английский язык, каталанский язык, словацкий язык, греческий язык, венгерский язык, польский язык, болгарский язык, иврит	Израиль
Официальный язык Самоа - <mask>.	английский язык	иврит, словацкий язык, армянский язык, испанский язык, венгерский язык, корейский язык, урду, китайский язык, японский язык, английский язык	Самоа
Официальный язык Швейцария - <mask>.	французский язык	хорватский язык, иврит, латинский язык, немецкий язык, венгерский язык, азербайджанский язык, испанский язык, украинский язык, нидерландский язык, французский язык	Швейцария
Официальный язык Бельгия - <mask>.	немецкий язык	финский язык, итальянский язык, азербайджанский язык, исландский язык, греческий язык, китайский язык, армянский язык, грузинский язык, албанский язык, немецкий язык	Бельгия
Официальный язык Науру - <mask>.	английский язык	азербайджанский язык, венгерский язык, украинский язык, албанский язык, иврит, хорватский язык, датский язык, французский язык, итальянский язык, английский язык	Науру
Официальный язык Фолклендские острова - <mask>.	английский язык	индонезийский язык, греческий язык, иврит, латинский язык, словацкий язык, китайский язык, армянский язык, грузинский язык, исландский язык, английский язык	Фолклендские острова
Официальный язык Гвинея - <mask>.	французский язык	чешский язык, японский язык, румынский язык, эстонский язык, турецкий язык, исландский язык, индонезийский язык, финский язык, испанский язык, французский язык	Гвинея
Официальный язык Австралия - <mask>.	английский язык	шведский язык, исландский язык, словацкий язык, латинский язык, корейский язык, хорватский язык, турецкий язык, французский язык, азербайджанский язык, английский язык	Австралия
Официальный язык Перу - <mask>.	испанский язык	польский язык, венгерский язык, исландский язык, нидерландский язык, армянский язык, шведский язык, болгарский язык, иврит, чешский язык, испанский язык	Перу
Официальный язык Лесото - <mask>.	английский язык	эстонский язык, литовский язык, сербский язык, португальский язык, финский язык, русский язык, французский язык, тайский язык, венгерский язык, английский язык	Лесото
Официальный язык Индия - <mask>.	английский язык	болгарский язык, литовский язык, тайский язык, албанский язык, нидерландский язык, китайский язык, польский язык, эстонский язык, испанский язык, английский язык	Индия
Официальный язык Зимбабве - <mask>.	английский язык	иврит, литовский язык, албанский язык, болгарский язык, польский язык, грузинский язык, турецкий язык, датский язык, французский язык, английский язык	Зимбабве
Официальный язык Джибути - <mask>.	французский язык	словенский язык, нидерландский язык, английский язык, исландский язык, иврит, итальянский язык, украинский язык, словацкий язык, финский язык, французский язык	Джибути
Официальный язык Монтана - <mask>.	английский язык	словацкий язык, азербайджанский язык, чешский язык, албанский язык, болгарский язык, русский язык, японский язык, нидерландский язык, словенский язык, английский язык	Монтана
Официальный язык Багамские Острова - <mask>.	английский язык	сербский язык, баскский язык, персидский язык, индонезийский язык, болгарский язык, грузинский язык, испанский язык, венгерский язык, украинский язык, английский язык	Багамские Острова
Официальный язык Онтарио - <mask>.	английский язык	немецкий язык, венгерский язык, корейский язык, чешский язык, урду, сербский язык, итальянский язык, русский язык, польский язык, английский язык	Онтарио
Официальный язык Альберта - <mask>.	английский язык	греческий язык, чешский язык, датский язык, латинский язык, украинский язык, немецкий язык, словенский язык, шведский язык, каталанский язык, английский язык	Альберта
Официальный язык Черногория - <mask>.	сербский язык	эстонский язык, латинский язык, итальянский язык, урду, каталанский язык, азербайджанский язык, французский язык, грузинский язык, испанский язык, сербский язык	Черногория
Официальный язык Эсватини - <mask>.	английский язык	иврит, персидский язык, болгарский язык, баскский язык, албанский язык, шведский язык, французский язык, корейский язык, словацкий язык, английский язык	Эсватини
Официальный язык Европейский союз - <mask>.	нидерландский язык	греческий язык, литовский язык, исландский язык, латинский язык, украинский язык, польский язык, хорватский язык, английский язык, эстонский язык, нидерландский язык	Европейский союз
Официальный язык Гренада - <mask>.	английский язык	венгерский язык, литовский язык, сербский язык, латинский язык, португальский язык, иврит, армянский язык, болгарский язык, греческий язык, английский язык	Гренада
Официальный язык Чечня - <mask>.	русский язык	финский язык, португальский язык, словацкий язык, баскский язык, венгерский язык, латинский язык, азербайджанский язык, тайский язык, румынский язык, русский язык	Чечня
Официальный язык Руанда - <mask>.	английский язык	индонезийский язык, польский язык, португальский язык, урду, тайский язык, иврит, греческий язык, шведский язык, французский язык, английский язык	Руанда
Официальный язык Финляндия - <mask>.	финский язык	шведский язык, эстонский язык, корейский язык, японский язык, исландский язык, китайский язык, иврит, азербайджанский язык, датский язык, финский язык	Финляндия
Официальный язык Небраска - <mask>.	английский язык	чешский язык, болгарский язык, литовский язык, русский язык, финский язык, китайский язык, каталанский язык, корейский язык, армянский язык, английский язык	Небраска
Официальный язык Польша - <mask>.	польский язык	словенский язык, шведский язык, тайский язык, хорватский язык, чешский язык, английский язык, китайский язык, армянский язык, итальянский язык, польский язык	Польша
Официальный язык Базель - <mask>.	немецкий язык	финский язык, румынский язык, сербский язык, датский язык, китайский язык, урду, эстонский язык, персидский язык, японский язык, немецкий язык	Базель
Официальный язык Арканзас - <mask>.	английский язык	итальянский язык, баскский язык, исландский язык, чешский язык, китайский язык, венгерский язык, словацкий язык, сербский язык, датский язык, английский язык	Арканзас
Официальный язык Румыния - <mask>.	румынский язык	русский язык, албанский язык, нидерландский язык, латинский язык, китайский язык, английский язык, урду, украинский язык, датский язык, румынский язык	Румыния
Официальный язык Европейский союз - <mask>.	греческий язык	исландский язык, украинский язык, баскский язык, китайский язык, португальский язык, финский язык, датский язык, азербайджанский язык, шведский язык, греческий язык	Европейский союз
Официальный язык Кения - <mask>.	английский язык	литовский язык, немецкий язык, баскский язык, индонезийский язык, иврит, хорватский язык, украинский язык, испанский язык, финский язык, английский язык	Кения
Официальный язык Гана - <mask>.	английский язык	румынский язык, грузинский язык, итальянский язык, эстонский язык, датский язык, болгарский язык, чешский язык, индонезийский язык, венгерский язык, английский язык	Гана
Официальный язык Словения - <mask>.	словенский язык	сербский язык, армянский язык, персидский язык, исландский язык, турецкий язык, польский язык, эстонский язык, урду, украинский язык, словенский язык	Словения
Официальный язык Молдавия - <mask>.	румынский язык	баскский язык, французский язык, шведский язык, португальский язык, корейский язык, немецкий язык, сербский язык, японский язык, датский язык, румынский язык	Молдавия
Официальный язык Французская Гвиана - <mask>.	французский язык	испанский язык, грузинский язык, сербский язык, индонезийский язык, урду, итальянский язык, исландский язык, баскский язык, греческий язык, французский язык	Французская Гвиана
Официальный язык Литва - <mask>.	литовский язык	русский язык, словенский язык, каталанский язык, словацкий язык, румынский язык, португальский язык, баскский язык, украинский язык, немецкий язык, литовский язык	Литва
Официальный язык Белиз - <mask>.	английский язык	нидерландский язык, турецкий язык, румынский язык, итальянский язык, баскский язык, сербский язык, хорватский язык, русский язык, болгарский язык, английский язык	Белиз
Официальный язык Испания - <mask>.	каталанский язык	чешский язык, французский язык, нидерландский язык, индонезийский язык, баскский язык, украинский язык, румынский язык, итальянский язык, венгерский язык, каталанский язык	Испания
Официальный язык Барбадос - <mask>.	английский язык	португальский язык, итальянский язык, японский язык, грузинский язык, каталанский язык, баскский язык, словенский язык, румынский язык, турецкий язык, английский язык	Барбадос
Официальный язык Колумбия - <mask>.	испанский язык	грузинский язык, португальский язык, нидерландский язык, румынский язык, латинский язык, венгерский язык, финский язык, украинский язык, хорватский язык, испанский язык	Колумбия
Официальный язык Бруней - <mask>.	английский язык	словенский язык, венгерский язык, турецкий язык, китайский язык, грузинский язык, словацкий язык, чешский язык, эстонский язык, латинский язык, английский язык	Бруней
Официальный язык Пакистан - <mask>.	урду	венгерский язык, персидский язык, немецкий язык, французский язык, португальский язык, хорватский язык, словенский язык, японский язык, тайский язык, урду	Пакистан
Официальный язык Сенегал - <mask>.	французский язык	румынский язык, болгарский язык, словенский язык, турецкий язык, эстонский язык, украинский язык, баскский язык, португальский язык, испанский язык, французский язык	Сенегал
Официальный язык Нунавут - <mask>.	английский язык	грузинский язык, китайский язык, сербский язык, литовский язык, итальянский язык, хорватский язык, индонезийский язык, каталанский язык, корейский язык, английский язык	Нунавут
Официальный язык Женева - <mask>.	французский язык	корейский язык, азербайджанский язык, турецкий язык, японский язык, нидерландский язык, украинский язык, эстонский язык, португальский язык, каталанский язык, французский язык	Женева
Официальный язык Европейский союз - <mask>.	болгарский язык	сербский язык, грузинский язык, эстонский язык, урду, индонезийский язык, исландский язык, японский язык, армянский язык, финский язык, болгарский язык	Европейский союз
Официальный язык Босния и Герцеговина - <mask>.	сербский язык	корейский язык, испанский язык, румынский язык, шведский язык, каталанский язык, баскский язык, венгерский язык, греческий язык, албанский язык, сербский язык	Босния и Герцеговина
Официальный язык Финляндия - <mask>.	шведский язык	финский язык, нидерландский язык, русский язык, албанский язык, немецкий язык, тайский язык, испанский язык, французский язык, датский язык, шведский язык	Финляндия
Официальный язык Папуа — Новая Гвинея - <mask>.	английский язык	португальский язык, урду, персидский язык, индонезийский язык, чешский язык, польский язык, финский язык, датский язык, иврит, английский язык	Папуа — Новая Гвинея
Официальный язык Руанда - <mask>.	французский язык	румынский язык, корейский язык, азербайджанский язык, баскский язык, латинский язык, словенский язык, урду, русский язык, тайский язык, французский язык	Руанда
Официальный язык Чад - <mask>.	французский язык	словенский язык, финский язык, немецкий язык, баскский язык, английский язык, словацкий язык, эстонский язык, азербайджанский язык, русский язык, французский язык	Чад
Официальный язык Ереван - <mask>.	армянский язык	иврит, английский язык, датский язык, нидерландский язык, финский язык, литовский язык, албанский язык, корейский язык, сербский язык, армянский язык	Ереван
Официальный язык Боливия - <mask>.	испанский язык	русский язык, сербский язык, хорватский язык, немецкий язык, словенский язык, баскский язык, армянский язык, финский язык, исландский язык, испанский язык	Боливия
Официальный язык Малайзия - <mask>.	английский язык	армянский язык, китайский язык, венгерский язык, грузинский язык, португальский язык, румынский язык, украинский язык, урду, шведский язык, английский язык	Малайзия
Официальный язык Южный Судан - <mask>.	английский язык	венгерский язык, грузинский язык, нидерландский язык, русский язык, греческий язык, немецкий язык, турецкий язык, индонезийский язык, каталанский язык, английский язык	Южный Судан
Официальный язык Экваториальная Гвинея - <mask>.	французский язык	эстонский язык, финский язык, литовский язык, урду, индонезийский язык, персидский язык, азербайджанский язык, корейский язык, словацкий язык, французский язык	Экваториальная Гвинея
Официальный язык Европейский союз - <mask>.	венгерский язык	эстонский язык, армянский язык, испанский язык, словенский язык, греческий язык, английский язык, баскский язык, каталанский язык, хорватский язык, венгерский язык	Европейский союз
Официальный язык Киргизия - <mask>.	русский язык	эстонский язык, болгарский язык, чешский язык, нидерландский язык, сербский язык, корейский язык, литовский язык, армянский язык, украинский язык, русский язык	Киргизия
Официальный язык Япония - <mask>.	японский язык	румынский язык, литовский язык, шведский язык, финский язык, словенский язык, латинский язык, французский язык, индонезийский язык, грузинский язык, японский язык	Япония
Официальный язык Иран - <mask>.	персидский язык	турецкий язык, датский язык, каталанский язык, нидерландский язык, албанский язык, японский язык, китайский язык, индонезийский язык, иврит, персидский язык	Иран
Официальный язык Тампере - <mask>.	финский язык	словацкий язык, болгарский язык, немецкий язык, шведский язык, армянский язык, словенский язык, тайский язык, индонезийский язык, хорватский язык, финский язык	Тампере
Официальный язык Панама - <mask>.	испанский язык	шведский язык, баскский язык, финский язык, тайский язык, венгерский язык, словенский язык, украинский язык, русский язык, грузинский язык, испанский язык	Панама
Официальный язык Квебек - <mask>.	французский язык	хорватский язык, венгерский язык, испанский язык, русский язык, польский язык, украинский язык, словенский язык, чешский язык, литовский язык, французский язык	Квебек
Официальный язык Римская империя - <mask>.	латинский язык	литовский язык, болгарский язык, корейский язык, шведский язык, азербайджанский язык, украинский язык, чешский язык, урду, исландский язык, латинский язык	Римская империя
Официальный язык Экваториальная Гвинея - <mask>.	испанский язык	баскский язык, украинский язык, урду, иврит, персидский язык, болгарский язык, словенский язык, португальский язык, литовский язык, испанский язык	Экваториальная Гвинея
Официальный язык Ньюфаундленд и Лабрадор - <mask>.	английский язык	литовский язык, болгарский язык, исландский язык, каталанский язык, армянский язык, испанский язык, китайский язык, нидерландский язык, шведский язык, английский язык	Ньюфаундленд и Лабрадор
Официальный язык Европейский союз - <mask>.	эстонский язык	литовский язык, румынский язык, персидский язык, греческий язык, индонезийский язык, тайский язык, болгарский язык, немецкий язык, чешский язык, эстонский язык	Европейский союз
Официальный язык Организация Объединённых Наций - <mask>.	испанский язык	польский язык, японский язык, эстонский язык, немецкий язык, сербский язык, венгерский язык, хорватский язык, урду, исландский язык, испанский язык	Организация Объединённых Наций
Официальный язык Якутия - <mask>.	русский язык	тайский язык, чешский язык, английский язык, французский язык, греческий язык, португальский язык, армянский язык, финский язык, каталанский язык, русский язык	Якутия
Официальный язык Европейский союз - <mask>.	польский язык	китайский язык, литовский язык, словацкий язык, персидский язык, русский язык, чешский язык, эстонский язык, азербайджанский язык, японский язык, польский язык	Европейский союз
Официальный язык Доминиканская Республика - <mask>.	испанский язык	хорватский язык, китайский язык, нидерландский язык, греческий язык, итальянский язык, грузинский язык, словенский язык, немецкий язык, албанский язык, испанский язык	Доминиканская Республика
Официальный язык Британская Колумбия - <mask>.	английский язык	французский язык, нидерландский язык, корейский язык, болгарский язык, каталанский язык, хорватский язык, итальянский язык, греческий язык, русский язык, английский язык	Британская Колумбия
Официальный язык Бельгия - <mask>.	нидерландский язык	баскский язык, румынский язык, греческий язык, французский язык, литовский язык, польский язык, шведский язык, албанский язык, португальский язык, нидерландский язык	Бельгия
Официальный язык Византия - <mask>.	латинский язык	испанский язык, иврит, румынский язык, японский язык, эстонский язык, тайский язык, датский язык, турецкий язык, индонезийский язык, латинский язык	Византия
