Prompt	Ans	Candidate Ans	Subject
Michelangelo chết trong <mask>.	Roma	Venezia, Roma	Michelangelo
Richard Wagner chết trong <mask>.	Venezia	Roma, Venezia	Richard Wagner
bảng chữ cái Ả Rập là một lớp con của <mask>.	bảng chữ cái	sinh học, bảng chữ cái	bảng chữ cái Ả Rập
sinh thái học là một lớp con của <mask>.	sinh học	bảng chữ cái, sinh học	sinh thái học
Ngôn ngữ chính thức của Polynésie thuộc Pháp là <mask>.	tiếng Pháp	tiếng Albania, tiếng Indonesia, tiếng Romania, tiếng Serbia, tiếng Hebrew, tiếng Thổ Nhĩ Kỳ, tiếng Gruzia, tiếng Bulgaria, tiếng Đức, tiếng Pháp	Polynésie thuộc Pháp
Ngôn ngữ chính thức của Uttar Pradesh là <mask>.	tiếng Urdu	tiếng Nhật, tiếng Nga, tiếng Thổ Nhĩ Kỳ, tiếng Latinh, tiếng Slovene, tiếng Croatia, tiếng Thái, tiếng Catalan, tiếng Albania, tiếng Urdu	Uttar Pradesh
Ngôn ngữ chính thức của Liên minh châu Âu là <mask>.	tiếng Phần Lan	tiếng Thổ Nhĩ Kỳ, tiếng Séc, tiếng Pháp, tiếng Tây Ban Nha, tiếng Thụy Điển, tiếng Hà Lan, tiếng Hy Lạp, tiếng Ba Lan, tiếng Estonia, tiếng Phần Lan	Liên minh châu Âu
Ngôn ngữ chính thức của Liên minh châu Âu là <mask>.	tiếng Slovene	tiếng Latinh, tiếng Hy Lạp, tiếng Triều Tiên, tiếng Anh, tiếng Slovak, tiếng Croatia, tiếng Ba Lan, tiếng Urdu, tiếng Đức, tiếng Slovene	Liên minh châu Âu
Ngôn ngữ chính thức của Haiti là <mask>.	tiếng Pháp	tiếng Nga, tiếng Đức, tiếng Croatia, tiếng Urdu, tiếng Ba Tư, tiếng Gruzia, tiếng Hà Lan, tiếng Thổ Nhĩ Kỳ, tiếng Armenia, tiếng Pháp	Haiti
Ngôn ngữ chính thức của Wyoming là <mask>.	tiếng Anh	tiếng Ukraina, tiếng Croatia, tiếng Slovak, tiếng Séc, tiếng Litva, tiếng Phần Lan, tiếng Nhật, tiếng Urdu, tiếng Thổ Nhĩ Kỳ, tiếng Anh	Wyoming
Ngôn ngữ chính thức của Uruguay là <mask>.	tiếng Tây Ban Nha	tiếng Đức, tiếng Thổ Nhĩ Kỳ, tiếng Serbia, tiếng Hà Lan, tiếng Urdu, tiếng Thái, tiếng Anh, tiếng Thụy Điển, tiếng Estonia, tiếng Tây Ban Nha	Uruguay
Ngôn ngữ chính thức của Nam Ossetia là <mask>.	tiếng Gruzia	tiếng Bulgaria, tiếng Anh, tiếng Séc, tiếng Slovak, tiếng Thổ Nhĩ Kỳ, tiếng Hà Lan, tiếng Bồ Đào Nha, tiếng Armenia, tiếng Triều Tiên, tiếng Gruzia	Nam Ossetia
Ngôn ngữ chính thức của Cộng hòa Congo là <mask>.	tiếng Pháp	tiếng Ba Lan, tiếng Hebrew, tiếng Thái, tiếng Croatia, tiếng Estonia, tiếng Latinh, tiếng Hy Lạp, tiếng Nhật, tiếng Thổ Nhĩ Kỳ, tiếng Pháp	Cộng hòa Congo
Ngôn ngữ chính thức của Quần đảo Solomon là <mask>.	tiếng Anh	tiếng Pháp, tiếng Hungary, tiếng Thái, tiếng Slovak, tiếng Iceland, tiếng Bulgaria, tiếng Triều Tiên, tiếng Trung Quốc, tiếng Nga, tiếng Anh	Quần đảo Solomon
Ngôn ngữ chính thức của Đảo Phục Sinh là <mask>.	tiếng Tây Ban Nha	tiếng Nga, tiếng Séc, tiếng Latinh, tiếng Đan Mạch, tiếng Nhật, tiếng Hungary, tiếng Iceland, tiếng Gruzia, tiếng Thụy Điển, tiếng Tây Ban Nha	Đảo Phục Sinh
Ngôn ngữ chính thức của Brasil là <mask>.	tiếng Bồ Đào Nha	tiếng Urdu, tiếng Iceland, tiếng Serbia, tiếng Thái, tiếng Phần Lan, tiếng Gruzia, tiếng Basque, tiếng Slovak, tiếng Litva, tiếng Bồ Đào Nha	Brasil
Ngôn ngữ chính thức của México là <mask>.	tiếng Tây Ban Nha	tiếng Ý, tiếng Trung Quốc, tiếng Estonia, tiếng Romania, tiếng Armenia, tiếng Catalan, tiếng Basque, tiếng Pháp, tiếng Urdu, tiếng Tây Ban Nha	México
Ngôn ngữ chính thức của Gambia là <mask>.	tiếng Anh	tiếng Serbia, tiếng Nga, tiếng Azerbaijan, tiếng Ba Lan, tiếng Tây Ban Nha, tiếng Estonia, tiếng Ý, tiếng Latinh, tiếng Slovak, tiếng Anh	Gambia
Ngôn ngữ chính thức của Đảo Man là <mask>.	tiếng Anh	tiếng Croatia, tiếng Triều Tiên, tiếng Phần Lan, tiếng Trung Quốc, tiếng Pháp, tiếng Thái, tiếng Nhật, tiếng Serbia, tiếng Basque, tiếng Anh	Đảo Man
Ngôn ngữ chính thức của Mississippi là <mask>.	tiếng Anh	tiếng Hy Lạp, tiếng Nhật, tiếng Đan Mạch, tiếng Trung Quốc, tiếng Romania, tiếng Hà Lan, tiếng Croatia, tiếng Urdu, tiếng Armenia, tiếng Anh	Mississippi
Ngôn ngữ chính thức của Ma Cao là <mask>.	tiếng Trung Quốc	tiếng Thụy Điển, tiếng Albania, tiếng Séc, tiếng Indonesia, tiếng Pháp, tiếng Đức, tiếng Thái, tiếng Croatia, tiếng Romania, tiếng Trung Quốc	Ma Cao
Ngôn ngữ chính thức của Israel là <mask>.	tiếng Hebrew	tiếng Iceland, tiếng Romania, tiếng Anh, tiếng Catalan, tiếng Slovak, tiếng Hy Lạp, tiếng Hungary, tiếng Ba Lan, tiếng Bulgaria, tiếng Hebrew	Israel
Ngôn ngữ chính thức của Samoa là <mask>.	tiếng Anh	tiếng Hebrew, tiếng Slovak, tiếng Armenia, tiếng Tây Ban Nha, tiếng Hungary, tiếng Triều Tiên, tiếng Urdu, tiếng Trung Quốc, tiếng Nhật, tiếng Anh	Samoa
Ngôn ngữ chính thức của Thụy Sĩ là <mask>.	tiếng Pháp	tiếng Croatia, tiếng Hebrew, tiếng Latinh, tiếng Đức, tiếng Hungary, tiếng Azerbaijan, tiếng Tây Ban Nha, tiếng Ukraina, tiếng Hà Lan, tiếng Pháp	Thụy Sĩ
Ngôn ngữ chính thức của Bỉ là <mask>.	tiếng Đức	tiếng Phần Lan, tiếng Ý, tiếng Azerbaijan, tiếng Iceland, tiếng Hy Lạp, tiếng Trung Quốc, tiếng Armenia, tiếng Gruzia, tiếng Albania, tiếng Đức	Bỉ
Ngôn ngữ chính thức của Nauru là <mask>.	tiếng Anh	tiếng Azerbaijan, tiếng Hungary, tiếng Ukraina, tiếng Albania, tiếng Hebrew, tiếng Croatia, tiếng Đan Mạch, tiếng Pháp, tiếng Ý, tiếng Anh	Nauru
Ngôn ngữ chính thức của Quần đảo Falkland là <mask>.	tiếng Anh	tiếng Indonesia, tiếng Hy Lạp, tiếng Hebrew, tiếng Latinh, tiếng Slovak, tiếng Trung Quốc, tiếng Armenia, tiếng Gruzia, tiếng Iceland, tiếng Anh	Quần đảo Falkland
Ngôn ngữ chính thức của Guinée là <mask>.	tiếng Pháp	tiếng Séc, tiếng Nhật, tiếng Romania, tiếng Estonia, tiếng Thổ Nhĩ Kỳ, tiếng Iceland, tiếng Indonesia, tiếng Phần Lan, tiếng Tây Ban Nha, tiếng Pháp	Guinée
Ngôn ngữ chính thức của Úc là <mask>.	tiếng Anh	tiếng Thụy Điển, tiếng Iceland, tiếng Slovak, tiếng Latinh, tiếng Triều Tiên, tiếng Croatia, tiếng Thổ Nhĩ Kỳ, tiếng Pháp, tiếng Azerbaijan, tiếng Anh	Úc
Ngôn ngữ chính thức của Peru là <mask>.	tiếng Tây Ban Nha	tiếng Ba Lan, tiếng Hungary, tiếng Iceland, tiếng Hà Lan, tiếng Armenia, tiếng Thụy Điển, tiếng Bulgaria, tiếng Hebrew, tiếng Séc, tiếng Tây Ban Nha	Peru
Ngôn ngữ chính thức của Lesotho là <mask>.	tiếng Anh	tiếng Estonia, tiếng Litva, tiếng Serbia, tiếng Bồ Đào Nha, tiếng Phần Lan, tiếng Nga, tiếng Pháp, tiếng Thái, tiếng Hungary, tiếng Anh	Lesotho
Ngôn ngữ chính thức của Ấn Độ là <mask>.	tiếng Anh	tiếng Bulgaria, tiếng Litva, tiếng Thái, tiếng Albania, tiếng Hà Lan, tiếng Trung Quốc, tiếng Ba Lan, tiếng Estonia, tiếng Tây Ban Nha, tiếng Anh	Ấn Độ
Ngôn ngữ chính thức của Zimbabwe là <mask>.	tiếng Anh	tiếng Hebrew, tiếng Litva, tiếng Albania, tiếng Bulgaria, tiếng Ba Lan, tiếng Gruzia, tiếng Thổ Nhĩ Kỳ, tiếng Đan Mạch, tiếng Pháp, tiếng Anh	Zimbabwe
Ngôn ngữ chính thức của Djibouti là <mask>.	tiếng Pháp	tiếng Slovene, tiếng Hà Lan, tiếng Anh, tiếng Iceland, tiếng Hebrew, tiếng Ý, tiếng Ukraina, tiếng Slovak, tiếng Phần Lan, tiếng Pháp	Djibouti
Ngôn ngữ chính thức của Montana là <mask>.	tiếng Anh	tiếng Slovak, tiếng Azerbaijan, tiếng Séc, tiếng Albania, tiếng Bulgaria, tiếng Nga, tiếng Nhật, tiếng Hà Lan, tiếng Slovene, tiếng Anh	Montana
Ngôn ngữ chính thức của Bahamas là <mask>.	tiếng Anh	tiếng Serbia, tiếng Basque, tiếng Ba Tư, tiếng Indonesia, tiếng Bulgaria, tiếng Gruzia, tiếng Tây Ban Nha, tiếng Hungary, tiếng Ukraina, tiếng Anh	Bahamas
Ngôn ngữ chính thức của Ontario là <mask>.	tiếng Anh	tiếng Đức, tiếng Hungary, tiếng Triều Tiên, tiếng Séc, tiếng Urdu, tiếng Serbia, tiếng Ý, tiếng Nga, tiếng Ba Lan, tiếng Anh	Ontario
Ngôn ngữ chính thức của Alberta là <mask>.	tiếng Anh	tiếng Hy Lạp, tiếng Séc, tiếng Đan Mạch, tiếng Latinh, tiếng Ukraina, tiếng Đức, tiếng Slovene, tiếng Thụy Điển, tiếng Catalan, tiếng Anh	Alberta
Ngôn ngữ chính thức của Montenegro là <mask>.	tiếng Serbia	tiếng Estonia, tiếng Latinh, tiếng Ý, tiếng Urdu, tiếng Catalan, tiếng Azerbaijan, tiếng Pháp, tiếng Gruzia, tiếng Tây Ban Nha, tiếng Serbia	Montenegro
Ngôn ngữ chính thức của Eswatini là <mask>.	tiếng Anh	tiếng Hebrew, tiếng Ba Tư, tiếng Bulgaria, tiếng Basque, tiếng Albania, tiếng Thụy Điển, tiếng Pháp, tiếng Triều Tiên, tiếng Slovak, tiếng Anh	Eswatini
Ngôn ngữ chính thức của Liên minh châu Âu là <mask>.	tiếng Hà Lan	tiếng Hy Lạp, tiếng Litva, tiếng Iceland, tiếng Latinh, tiếng Ukraina, tiếng Ba Lan, tiếng Croatia, tiếng Anh, tiếng Estonia, tiếng Hà Lan	Liên minh châu Âu
Ngôn ngữ chính thức của Grenada là <mask>.	tiếng Anh	tiếng Hungary, tiếng Litva, tiếng Serbia, tiếng Latinh, tiếng Bồ Đào Nha, tiếng Hebrew, tiếng Armenia, tiếng Bulgaria, tiếng Hy Lạp, tiếng Anh	Grenada
Ngôn ngữ chính thức của Chechnya là <mask>.	tiếng Nga	tiếng Phần Lan, tiếng Bồ Đào Nha, tiếng Slovak, tiếng Basque, tiếng Hungary, tiếng Latinh, tiếng Azerbaijan, tiếng Thái, tiếng Romania, tiếng Nga	Chechnya
Ngôn ngữ chính thức của Rwanda là <mask>.	tiếng Anh	tiếng Indonesia, tiếng Ba Lan, tiếng Bồ Đào Nha, tiếng Urdu, tiếng Thái, tiếng Hebrew, tiếng Hy Lạp, tiếng Thụy Điển, tiếng Pháp, tiếng Anh	Rwanda
Ngôn ngữ chính thức của Phần Lan là <mask>.	tiếng Phần Lan	tiếng Thụy Điển, tiếng Estonia, tiếng Triều Tiên, tiếng Nhật, tiếng Iceland, tiếng Trung Quốc, tiếng Hebrew, tiếng Azerbaijan, tiếng Đan Mạch, tiếng Phần Lan	Phần Lan
Ngôn ngữ chính thức của Nebraska là <mask>.	tiếng Anh	tiếng Séc, tiếng Bulgaria, tiếng Litva, tiếng Nga, tiếng Phần Lan, tiếng Trung Quốc, tiếng Catalan, tiếng Triều Tiên, tiếng Armenia, tiếng Anh	Nebraska
Ngôn ngữ chính thức của Ba Lan là <mask>.	tiếng Ba Lan	tiếng Slovene, tiếng Thụy Điển, tiếng Thái, tiếng Croatia, tiếng Séc, tiếng Anh, tiếng Trung Quốc, tiếng Armenia, tiếng Ý, tiếng Ba Lan	Ba Lan
Ngôn ngữ chính thức của Basel là <mask>.	tiếng Đức	tiếng Phần Lan, tiếng Romania, tiếng Serbia, tiếng Đan Mạch, tiếng Trung Quốc, tiếng Urdu, tiếng Estonia, tiếng Ba Tư, tiếng Nhật, tiếng Đức	Basel
Ngôn ngữ chính thức của Arkansas là <mask>.	tiếng Anh	tiếng Ý, tiếng Basque, tiếng Iceland, tiếng Séc, tiếng Trung Quốc, tiếng Hungary, tiếng Slovak, tiếng Serbia, tiếng Đan Mạch, tiếng Anh	Arkansas
Ngôn ngữ chính thức của Romania là <mask>.	tiếng Romania	tiếng Nga, tiếng Albania, tiếng Hà Lan, tiếng Latinh, tiếng Trung Quốc, tiếng Anh, tiếng Urdu, tiếng Ukraina, tiếng Đan Mạch, tiếng Romania	Romania
Ngôn ngữ chính thức của Liên minh châu Âu là <mask>.	tiếng Hy Lạp	tiếng Iceland, tiếng Ukraina, tiếng Basque, tiếng Trung Quốc, tiếng Bồ Đào Nha, tiếng Phần Lan, tiếng Đan Mạch, tiếng Azerbaijan, tiếng Thụy Điển, tiếng Hy Lạp	Liên minh châu Âu
Ngôn ngữ chính thức của Kenya là <mask>.	tiếng Anh	tiếng Litva, tiếng Đức, tiếng Basque, tiếng Indonesia, tiếng Hebrew, tiếng Croatia, tiếng Ukraina, tiếng Tây Ban Nha, tiếng Phần Lan, tiếng Anh	Kenya
Ngôn ngữ chính thức của Ghana là <mask>.	tiếng Anh	tiếng Romania, tiếng Gruzia, tiếng Ý, tiếng Estonia, tiếng Đan Mạch, tiếng Bulgaria, tiếng Séc, tiếng Indonesia, tiếng Hungary, tiếng Anh	Ghana
