Prompt	Ans	Candidate Ans	Subject
Michelangelo died in <mask>.	Rome	Venice, Rome	Michelangelo
Richard Wagner died in <mask>.	Venice	Rome, Venice	Richard Wagner
Arabic alphabet is a subclass of <mask>.	alphabet	biology, alphabet	Arabic alphabet
ecology is a subclass of <mask>.	biology	alphabet, biology	ecology
The official language of French Polynesia is <mask>.	French	Albanian, Indonesian, Romanian, Serbian, Hebrew, Turkish, Georgian, Bulgarian, German, French	French Polynesia
The official language of Uttar Pradesh is <mask>.	Urdu	Japanese, Russian, Turkish, Latin, Slovene, Croatian, Thai, Catalan, Albanian, Urdu	Uttar Pradesh
The official language of European Union is <mask>.	Finnish	Turkish, Czech, French, Spanish, Swedish, Dutch, Greek, Polish, Estonian, Finnish	European Union
The official language of European Union is <mask>.	Slovene	Latin, Greek, Korean, English, Slovak, Croatian, Polish, Urdu, German, Slovene	European Union
The official language of Haiti is <mask>.	French	Russian, German, Croatian, Urdu, Persian, Georgian, Dutch, Turkish, Armenian, French	Haiti
The official language of Wyoming is <mask>.	English	Ukrainian, Croatian, Slovak, Czech, Lithuanian, Finnish, Japanese, Urdu, Turkish, English	Wyoming
The official language of Uruguay is <mask>.	Spanish	German, Turkish, Serbian, Dutch, Urdu, Thai, English, Swedish, Estonian, Spanish	Uruguay
The official language of South Ossetia is <mask>.	Georgian	Bulgarian, English, Czech, Slovak, Turkish, Dutch, Portuguese, Armenian, Korean, Georgian	South Ossetia
The official language of Republic of the Congo is <mask>.	French	Polish, Hebrew, Thai, Croatian, Estonian, Latin, Greek, Japanese, Turkish, French	Republic of the Congo
The official language of Solomon Islands is <mask>.	English	French, Hungarian, Thai, Slovak, Icelandic, Bulgarian, Korean, Chinese, Russian, English	Solomon Islands
The official language of Easter Island is <mask>.	Spanish	Russian, Czech, Latin, Danish, Japanese, Hungarian, Icelandic, Georgian, Swedish, Spanish	Easter Island
The official language of Brazil is <mask>.	Portuguese	Urdu, Icelandic, Serbian, Thai, Finnish, Georgian, Basque, Slovak, Lithuanian, Portuguese	Brazil
The official language of Mexico is <mask>.	Spanish	Italian, Chinese, Estonian, Romanian, Armenian, Catalan, Basque, French, Urdu, Spanish	Mexico
The official language of The Gambia is <mask>.	English	Serbian, Russian, Azerbaijani, Polish, Spanish, Estonian, Italian, Latin, Slovak, English	The Gambia
The official language of Isle of Man is <mask>.	English	Croatian, Korean, Finnish, Chinese, French, Thai, Japanese, Serbian, Basque, English	Isle of Man
The official language of Mississippi is <mask>.	English	Greek, Japanese, Danish, Chinese, Romanian, Dutch, Croatian, Urdu, Armenian, English	Mississippi
The official language of Macau is <mask>.	Chinese	Swedish, Albanian, Czech, Indonesian, French, German, Thai, Croatian, Romanian, Chinese	Macau
The official language of Israel is <mask>.	Hebrew	Icelandic, Romanian, English, Catalan, Slovak, Greek, Hungarian, Polish, Bulgarian, Hebrew	Israel
The official language of Samoa is <mask>.	English	Hebrew, Slovak, Armenian, Spanish, Hungarian, Korean, Urdu, Chinese, Japanese, English	Samoa
The official language of Switzerland is <mask>.	French	Croatian, Hebrew, Latin, German, Hungarian, Azerbaijani, Spanish, Ukrainian, Dutch, French	Switzerland
The official language of Belgium is <mask>.	German	Finnish, Italian, Azerbaijani, Icelandic, Greek, Chinese, Armenian, Georgian, Albanian, German	Belgium
The official language of Nauru is <mask>.	English	Azerbaijani, Hungarian, Ukrainian, Albanian, Hebrew, Croatian, Danish, French, Italian, English	Nauru
The official language of Falkland Islands is <mask>.	English	Indonesian, Greek, Hebrew, Latin, Slovak, Chinese, Armenian, Georgian, Icelandic, English	Falkland Islands
